




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6399963 Released 2022-03-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (32)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of inner ear receptor cell differentiation (GO:2000981)	4	3	.01	+	 > 100	1.18E-07	1.64E-05
negative regulation of mechanoreceptor differentiation (GO:0045632)	4	3	.01	+	 > 100	1.18E-07	1.63E-05
negative regulation of inner ear auditory receptor cell differentiation (GO:0045608)	4	3	.01	+	 > 100	1.18E-07	1.61E-05
negative regulation of pro-B cell differentiation (GO:2000974)	3	2	.00	+	 > 100	2.33E-05	1.38E-03
cell-cell signaling involved in cell fate commitment (GO:0045168)	3	2	.00	+	 > 100	2.33E-05	1.38E-03
negative regulation of lymphoid progenitor cell differentiation (GO:1905457)	3	2	.00	+	 > 100	2.33E-05	1.37E-03
cardiac right atrium morphogenesis (GO:0003213)	3	2	.00	+	 > 100	2.33E-05	1.37E-03
lateral inhibition (GO:0046331)	3	2	.00	+	 > 100	2.33E-05	1.36E-03
compartment pattern specification (GO:0007386)	5	3	.01	+	 > 100	1.89E-07	2.43E-05
proximal tubule development (GO:0072014)	6	3	.01	+	 > 100	2.83E-07	3.36E-05
cellular response to tumor cell (GO:0071228)	4	2	.01	+	 > 100	3.49E-05	1.92E-03
regulation of somitogenesis (GO:0014807)	6	3	.01	+	 > 100	2.83E-07	3.34E-05
ciliary body morphogenesis (GO:0061073)	4	2	.01	+	 > 100	3.49E-05	1.91E-03
non-canonical Wnt signaling pathway via JNK cascade (GO:0038031)	5	2	.01	+	 > 100	4.88E-05	2.60E-03
Notch signaling involved in heart development (GO:0061314)	10	4	.02	+	 > 100	4.73E-09	1.06E-06
common bile duct development (GO:0061009)	5	2	.01	+	 > 100	4.88E-05	2.59E-03
regulation of inner ear receptor cell differentiation (GO:2000980)	8	3	.01	+	 > 100	5.55E-07	5.84E-05
regulation of mechanoreceptor differentiation (GO:0045631)	8	3	.01	+	 > 100	5.55E-07	5.80E-05
regulation of inner ear auditory receptor cell differentiation (GO:0045607)	8	3	.01	+	 > 100	5.55E-07	5.76E-05
amyloid-beta formation (GO:0034205)	9	3	.01	+	 > 100	7.40E-07	7.29E-05
Notch receptor processing (GO:0007220)	9	3	.01	+	 > 100	7.40E-07	7.25E-05
marginal zone B cell differentiation (GO:0002315)	9	3	.01	+	 > 100	7.40E-07	7.20E-05
glomerular capillary formation (GO:0072104)	6	2	.01	+	 > 100	6.49E-05	3.21E-03
glomerulus vasculature morphogenesis (GO:0072103)	6	2	.01	+	 > 100	6.49E-05	3.20E-03
non-canonical Wnt signaling pathway via MAPK cascade (GO:0038030)	6	2	.01	+	 > 100	6.49E-05	3.19E-03
mesenchymal cell development (GO:0014031)	6	2	.01	+	 > 100	6.49E-05	3.18E-03
arterial endothelial cell differentiation (GO:0060842)	6	2	.01	+	 > 100	6.49E-05	3.17E-03
Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation (GO:1904953)	10	3	.02	+	 > 100	9.61E-07	9.01E-05
positive regulation of transcription of Notch receptor target (GO:0007221)	7	2	.01	+	 > 100	8.34E-05	3.97E-03
negative regulation of cardiac muscle cell differentiation (GO:2000726)	7	2	.01	+	 > 100	8.34E-05	3.96E-03
regulation of pro-B cell differentiation (GO:2000973)	8	2	.01	+	 > 100	1.04E-04	4.83E-03
midbrain dopaminergic neuron differentiation (GO:1904948)	12	3	.02	+	 > 100	1.53E-06	1.39E-04
positive regulation of cardiac epithelial to mesenchymal transition (GO:0062043)	8	2	.01	+	 > 100	1.04E-04	4.82E-03
kidney vasculature morphogenesis (GO:0061439)	8	2	.01	+	 > 100	1.04E-04	4.80E-03
renal system vasculature morphogenesis (GO:0061438)	8	2	.01	+	 > 100	1.04E-04	4.79E-03
blood vessel endothelial cell differentiation (GO:0060837)	8	2	.01	+	 > 100	1.04E-04	4.77E-03
pericardium morphogenesis (GO:0003344)	8	2	.01	+	 > 100	1.04E-04	4.76E-03
atrioventricular node development (GO:0003162)	8	2	.01	+	 > 100	1.04E-04	4.75E-03
pulmonary valve morphogenesis (GO:0003184)	17	4	.03	+	 > 100	2.81E-08	4.73E-06
glomerulus morphogenesis (GO:0072102)	9	2	.01	+	 > 100	1.27E-04	5.63E-03
regulation of cardiac epithelial to mesenchymal transition (GO:0062042)	9	2	.01	+	 > 100	1.27E-04	5.62E-03
cardiac neural crest cell development involved in outflow tract morphogenesis (GO:0061309)	9	2	.01	+	 > 100	1.27E-04	5.60E-03
regulation of secondary heart field cardioblast proliferation (GO:0003266)	9	2	.01	+	 > 100	1.27E-04	5.58E-03
negative regulation of glial cell apoptotic process (GO:0034351)	9	2	.01	+	 > 100	1.27E-04	5.57E-03
cell surface receptor signaling pathway involved in heart development (GO:0061311)	23	5	.04	+	 > 100	6.21E-10	2.26E-07
negative regulation of epidermis development (GO:0045683)	14	3	.02	+	 > 100	2.27E-06	1.94E-04
negative regulation of epidermal cell differentiation (GO:0045605)	14	3	.02	+	 > 100	2.27E-06	1.93E-04
left/right axis specification (GO:0070986)	14	3	.02	+	 > 100	2.27E-06	1.92E-04
glomerulus vasculature development (GO:0072012)	20	4	.03	+	 > 100	4.96E-08	7.70E-06
regulation of lymphoid progenitor cell differentiation (GO:1905456)	10	2	.02	+	 > 100	1.52E-04	6.53E-03
somatic stem cell division (GO:0048103)	10	2	.02	+	 > 100	1.52E-04	6.51E-03
regulation of cardioblast proliferation (GO:0003264)	10	2	.02	+	 > 100	1.52E-04	6.49E-03
pulmonary valve development (GO:0003177)	21	4	.03	+	 > 100	5.90E-08	8.90E-06
regulation of cardiac muscle cell differentiation (GO:2000725)	16	3	.02	+	 > 100	3.23E-06	2.61E-04
amyloid precursor protein catabolic process (GO:0042987)	16	3	.02	+	 > 100	3.23E-06	2.60E-04
loop of Henle development (GO:0072070)	11	2	.02	+	 > 100	1.80E-04	7.41E-03
podocyte development (GO:0072015)	11	2	.02	+	 > 100	1.80E-04	7.39E-03
negative regulation of hematopoietic progenitor cell differentiation (GO:1901533)	11	2	.02	+	 > 100	1.80E-04	7.37E-03
negative regulation of cardiocyte differentiation (GO:1905208)	11	2	.02	+	 > 100	1.80E-04	7.35E-03
kidney vasculature development (GO:0061440)	22	4	.03	+	 > 100	6.97E-08	1.00E-05
renal system vasculature development (GO:0061437)	22	4	.03	+	 > 100	6.97E-08	9.93E-06
vascular associated smooth muscle cell development (GO:0097084)	11	2	.02	+	 > 100	1.80E-04	7.33E-03
regulation of glial cell apoptotic process (GO:0034350)	11	2	.02	+	 > 100	1.80E-04	7.31E-03
neuronal stem cell population maintenance (GO:0097150)	23	4	.04	+	 > 100	8.17E-08	1.15E-05
glomerular epithelial cell development (GO:0072310)	12	2	.02	+	 > 100	2.10E-04	8.35E-03
mammary gland epithelial cell proliferation (GO:0033598)	12	2	.02	+	 > 100	2.10E-04	8.33E-03
negative regulation of glial cell proliferation (GO:0060253)	12	2	.02	+	 > 100	2.10E-04	8.30E-03
distal tubule development (GO:0072017)	12	2	.02	+	 > 100	2.10E-04	8.28E-03
negative regulation of oligodendrocyte differentiation (GO:0048715)	12	2	.02	+	 > 100	2.10E-04	8.26E-03
positive regulation of astrocyte differentiation (GO:0048711)	12	2	.02	+	 > 100	2.10E-04	8.24E-03
planar cell polarity pathway involved in neural tube closure (GO:0090179)	12	2	.02	+	 > 100	2.10E-04	8.22E-03
membrane protein intracellular domain proteolysis (GO:0031293)	12	2	.02	+	 > 100	2.10E-04	8.20E-03
cardiac neural crest cell development involved in heart development (GO:0061308)	12	2	.02	+	 > 100	2.10E-04	8.18E-03
cardiac neural crest cell differentiation involved in heart development (GO:0061307)	12	2	.02	+	 > 100	2.10E-04	8.16E-03
negative regulation of cell fate commitment (GO:0010454)	12	2	.02	+	 > 100	2.10E-04	8.14E-03
epithelial to mesenchymal transition involved in endocardial cushion formation (GO:0003198)	12	2	.02	+	 > 100	2.10E-04	8.12E-03
amyloid-beta metabolic process (GO:0050435)	19	3	.03	+	 > 100	5.12E-06	3.70E-04
labyrinthine layer blood vessel development (GO:0060716)	20	3	.03	+	96.51	5.89E-06	4.19E-04
membrane protein ectodomain proteolysis (GO:0006509)	21	3	.03	+	91.92	6.72E-06	4.72E-04
regulation of establishment of planar polarity involved in neural tube closure (GO:0090178)	14	2	.02	+	91.92	2.76E-04	1.03E-02
cardiac atrium morphogenesis (GO:0003209)	29	4	.05	+	88.75	1.89E-07	2.41E-05
left/right pattern formation (GO:0060972)	22	3	.03	+	87.74	7.63E-06	5.24E-04
type B pancreatic cell development (GO:0003323)	15	2	.02	+	85.79	3.13E-04	1.16E-02
negative regulation of stem cell differentiation (GO:2000737)	23	3	.04	+	83.92	8.61E-06	5.87E-04
amyloid precursor protein metabolic process (GO:0042982)	23	3	.04	+	83.92	8.61E-06	5.84E-04
placenta blood vessel development (GO:0060674)	31	4	.05	+	83.02	2.42E-07	2.91E-05
ventricular septum morphogenesis (GO:0060412)	40	5	.06	+	80.43	7.58E-09	1.54E-06
vascular associated smooth muscle cell differentiation (GO:0035886)	16	2	.02	+	80.43	3.51E-04	1.29E-02
apoptotic process involved in morphogenesis (GO:0060561)	16	2	.02	+	80.43	3.51E-04	1.29E-02
Notch signaling pathway (GO:0007219)	113	14	.18	+	79.71	2.32E-23	3.63E-19
mature B cell differentiation involved in immune response (GO:0002313)	25	3	.04	+	77.21	1.08E-05	7.01E-04
cardiac epithelial to mesenchymal transition (GO:0060317)	27	3	.04	+	71.49	1.34E-05	8.53E-04
regulation of cell proliferation involved in heart morphogenesis (GO:2000136)	18	2	.03	+	71.49	4.36E-04	1.57E-02
negative regulation of epithelial cell differentiation (GO:0030857)	45	5	.07	+	71.49	1.31E-08	2.44E-06
glomerulus development (GO:0032835)	55	6	.09	+	70.19	4.44E-10	1.83E-07
positive regulation of Notch signaling pathway (GO:0045747)	46	5	.07	+	69.94	1.45E-08	2.61E-06
cardiac atrium development (GO:0003230)	37	4	.06	+	69.56	4.64E-07	5.02E-05
negative regulation of myoblast differentiation (GO:0045662)	28	3	.04	+	68.94	1.48E-05	9.32E-04
regulation of cardiocyte differentiation (GO:1905207)	28	3	.04	+	68.94	1.48E-05	9.29E-04
pericardium development (GO:0060039)	19	2	.03	+	67.73	4.81E-04	1.69E-02
cardiac right ventricle morphogenesis (GO:0003215)	19	2	.03	+	67.73	4.81E-04	1.69E-02
cardiac septum morphogenesis (GO:0060411)	69	7	.11	+	65.27	2.18E-11	2.13E-08
mature B cell differentiation (GO:0002335)	30	3	.05	+	64.34	1.79E-05	1.09E-03
response to muramyl dipeptide (GO:0032495)	20	2	.03	+	64.34	5.29E-04	1.83E-02
stem cell division (GO:0017145)	20	2	.03	+	64.34	5.29E-04	1.83E-02
semi-lunar valve development (GO:1905314)	41	4	.06	+	62.77	6.80E-07	6.75E-05
dopaminergic neuron differentiation (GO:0071542)	31	3	.05	+	62.27	1.97E-05	1.18E-03
podocyte differentiation (GO:0072112)	21	2	.03	+	61.28	5.78E-04	1.97E-02
glandular epithelial cell development (GO:0002068)	21	2	.03	+	61.28	5.78E-04	1.97E-02
regulation of cell-cell adhesion mediated by cadherin (GO:2000047)	21	2	.03	+	61.28	5.78E-04	1.96E-02
renal filtration cell differentiation (GO:0061318)	21	2	.03	+	61.28	5.78E-04	1.96E-02
type B pancreatic cell differentiation (GO:0003309)	21	2	.03	+	61.28	5.78E-04	1.95E-02
aortic valve morphogenesis (GO:0003180)	32	3	.05	+	60.32	2.15E-05	1.28E-03
tripartite regional subdivision (GO:0007351)	22	2	.03	+	58.49	6.30E-04	2.11E-02
glomerular epithelial cell differentiation (GO:0072311)	22	2	.03	+	58.49	6.30E-04	2.11E-02
anterior/posterior axis specification, embryo (GO:0008595)	22	2	.03	+	58.49	6.30E-04	2.10E-02
negative regulation of striated muscle cell differentiation (GO:0051154)	34	3	.05	+	56.77	2.54E-05	1.46E-03
positive regulation of cardiac muscle cell proliferation (GO:0060045)	23	2	.04	+	55.95	6.84E-04	2.26E-02
presynapse assembly (GO:0099054)	23	2	.04	+	55.95	6.84E-04	2.26E-02
enteroendocrine cell differentiation (GO:0035883)	23	2	.04	+	55.95	6.84E-04	2.25E-02
atrial septum development (GO:0003283)	23	2	.04	+	55.95	6.84E-04	2.25E-02
endocardial cushion formation (GO:0003272)	23	2	.04	+	55.95	6.84E-04	2.24E-02
membrane protein proteolysis (GO:0033619)	35	3	.05	+	55.15	2.76E-05	1.56E-03
cell differentiation involved in kidney development (GO:0061005)	47	4	.07	+	54.76	1.13E-06	1.05E-04
response to tumor cell (GO:0002347)	24	2	.04	+	53.62	7.41E-04	2.41E-02
positive regulation of mesenchymal cell proliferation (GO:0002053)	24	2	.04	+	53.62	7.41E-04	2.40E-02
epithelial cell differentiation involved in kidney development (GO:0035850)	36	3	.06	+	53.62	2.99E-05	1.66E-03
atrioventricular valve morphogenesis (GO:0003181)	24	2	.04	+	53.62	7.41E-04	2.40E-02
negative regulation of neuron differentiation (GO:0045665)	73	6	.11	+	52.88	2.18E-09	5.70E-07
outflow tract morphogenesis (GO:0003151)	73	6	.11	+	52.88	2.18E-09	5.60E-07
aortic valve development (GO:0003176)	37	3	.06	+	52.17	3.23E-05	1.79E-03
negative regulation of glial cell differentiation (GO:0045686)	25	2	.04	+	51.47	7.99E-04	2.56E-02
